Team,W-L-T,EFF,RNK,EFF,RNK,EFF,RNK,EFF,RNK,Year
New England Patriots,17-2-0,77.3,1,75.1,2,61.0,6,65.3,5,2016
Atlanta Falcons,13-6-0,71.6,2,83.3,1,44.8,22,56.6,10,2016
Dallas Cowboys,13-4-0,66.4,3,70.7,4,50.0,18,59.5,8,2016
Kansas City Chiefs,12-5-0,63.9,4,51.6,15,60.1,7,73.3,1,2016
Pittsburgh Steelers,13-6-0,59.6,5,62.4,7,52.1,13,49.6,14,2016
Green Bay Packers,12-7-0,58.0,6,72.6,3,41.3,25,41.4,25,2016
Seattle Seahawks,11-6-1,56.7,7,53.3,13,56.2,10,51.9,13,2016
Denver Broncos,9-7-0,54.3,8,41.3,22,69.6,1,37.7,29,2016
Baltimore Ravens,8-8-0,53.6,9,38.9,26,58.4,8,69.3,3,2016
Oakland Raiders,12-5-0,53.4,10,55.1,10,41.8,24,66.1,4,2016
Minnesota Vikings,8-8-0,53.2,11,41.3,23,65.6,3,44.8,18,2016
Arizona Cardinals,7-8-1,52.6,12,49.5,18,63.1,5,30.6,32,2016
Washington Redskins,8-7-1,51.9,13,63.5,6,37.6,27,54.4,12,2016
New York Giants,11-6-0,51.2,14,36.7,27,67.9,2,42.0,22,2016
Tennessee Titans,9-7-0,50.4,15,52.3,14,51.2,14,43.0,20,2016
Miami Dolphins,10-7-0,50.1,16,49.8,17,48.7,19,56.6,11,2016
Indianapolis Colts,8-8-0,49.8,17,53.9,12,35.7,28,71.5,2,2016
Philadelphia Eagles,7-9-0,49.5,18,43.6,20,50.8,16,60.6,7,2016
Tampa Bay Buccaneers,9-7-0,49.2,19,43.9,19,55.3,11,48.7,15,2016
New Orleans Saints,7-9-0,49.1,20,65.6,5,33.4,30,44.5,19,2016
Carolina Panthers,6-10-0,49.0,21,42.0,21,57.6,9,47.5,16,2016
Cincinnati Bengals,6-9-1,48.8,22,54.4,11,47.0,20,42.6,21,2016
Buffalo Bills,7-9-0,47.3,23,56.3,9,43.7,23,41.7,24,2016
San Diego Chargers,5-11-0,46.6,24,50.5,16,51.1,15,34.8,30,2016
Houston Texans,10-8-0,45.2,25,33.5,29,63.9,4,40.9,26,2016
Detroit Lions,9-8-0,44.9,26,56.4,8,32.9,31,59.3,9,2016
Jacksonville Jaguars,3-13-0,36.6,27,31.7,30,52.2,12,39.9,27,2016
New York Jets,5-11-0,35.9,28,39.8,25,44.8,21,34.2,31,2016
Chicago Bears,3-13-0,33.2,29,40.0,24,39.2,26,38.3,28,2016
Los Angeles Rams,4-12-0,32.9,30,19.5,32,50.6,17,62.6,6,2016
San Francisco 49ers,2-14-0,25.1,31,27.3,31,35.2,29,44.9,17,2016
Cleveland Browns,1-15-0,23.7,32,36.7,28,25.5,32,41.9,23,2016
